x,y,Magmatic lineation (DIP),Dip Direction,Dyke orientation (STRIKE),Dip,Orientation,GPS (E),(N),,,,,,
7.761982617,45.9160806,12,97,103/73 SW,,,625089,84994,0.025089,-0.115006,2.794313742,16.52978902,7.761982617,45.9160806
7.762163737,45.91619702,18,114,117/88 SW,,,625103,85007,0.025103,-0.114993,2.794378945,16.52983093,7.762163737,45.91619702
7.762022024,45.91620642,22,113,125/83 SW,,,625092,85008,0.025092,-0.114992,2.794327929,16.52983431,7.762022024,45.91620642
7.761544698,45.91612684,24,260,,,,625055,84999,0.025055,-0.115001,2.794156091,16.52980566,7.761544698,45.91612684
7.762331597,45.91625051,24,70,100/72 S,,,625116,85013,0.025116,-0.114987,2.794439375,16.52985018,7.762331597,45.91625051
7.762576465,45.9162498,9,239,088/89 S,,,625135,85013,0.025135,-0.114987,2.794527528,16.52984993,7.762576465,45.9162498
7.762718444,45.91628538,21,87,,,,625146,85017,0.025146,-0.114983,2.79457864,16.52986274,7.762718444,45.91628538
7.762654803,45.91642049,7,100,088/87 S,,,625141,85032,0.025141,-0.114968,2.794555729,16.52991138,7.762654803,45.91642049
7.762809351,45.91640205,14,124,100/84 S,,,625153,85030,0.025153,-0.11497,2.794611366,16.52990474,7.762809351,45.91640205
7.762950691,45.91632968,30,110,,,,625164,85022,0.025164,-0.114978,2.794662249,16.52987869,7.762950691,45.91632968
7.763105771,45.9164012,31,93,071/83 SE,,,625176,85030,0.025176,-0.11497,2.794718078,16.52990443,7.763105771,45.9164012
7.763080528,45.91649122,10,83,084/76 S,,,625174,85040,0.025174,-0.11496,2.79470899,16.52993684,7.763080528,45.91649122
7.763274113,45.91653564,32,132,,,,625189,85045,0.025189,-0.114955,2.794778681,16.52995283,7.763274113,45.91653564
7.763262024,45.91667061,32,132,095/80 S,,,625188,85060,0.025188,-0.11494,2.794774329,16.53000142,7.763262024,45.91667061
7.763288439,45.91677848,24,128,090/78 S,,,625190,85072,0.02519,-0.114928,2.794783838,16.53004025,7.763288439,45.91677848
7.762927417,45.91675253,38,152,088/74 S,,,625162,85069,0.025162,-0.114931,2.79465387,16.53003091,7.762927417,45.91675253
7.762721795,45.91685207,45,135,135/56,,,625146,85080,0.025146,-0.11492,2.794579846,16.53006675,7.762721795,45.91685207
7.762825112,45.91688776,32,98,,,,625154,85084,0.025154,-0.114916,2.79461704,16.53007959,7.762825112,45.91688776
7.762980033,45.91693229,25,187,,,,625166,85089,0.025166,-0.114911,2.794672812,16.53009562,7.762980033,45.91693229
7.763006235,45.91700417,30,150,105/68 SW,,,625168,85097,0.025168,-0.114903,2.794682245,16.5301215,7.763006235,45.91700417
7.76327699,45.91702138,28,216,,,,625189,85099,0.025189,-0.114901,2.794779716,16.5301277,7.76327699,45.91702138
7.763380254,45.91704807,8,143,,,,625197,85102,0.025197,-0.114898,2.794816891,16.53013731,7.763380254,45.91704807
7.763483038,45.9169938,44,133,,,,625205,85096,0.025205,-0.114904,2.794853894,16.53011777,7.763483038,45.9169938
7.763779408,45.91698395,19,171,,,,625228,85095,0.025228,-0.114905,2.794960587,16.53011422,7.763779408,45.91698395
7.764011606,45.91701926,15,213,,,,625246,85099,0.025246,-0.114901,2.795044178,16.53012693,7.764011606,45.91701926
7.764075725,45.9169651,28,158,,,,625251,85093,0.025251,-0.114907,2.795067261,16.53010744,7.764075725,45.9169651
7.764397765,45.91693718,29,120,,,,625276,85090,0.025276,-0.11491,2.795183195,16.53009739,7.764397765,45.91693718
7.764332737,45.91683842,39,86,,,,625271,85079,0.025271,-0.114921,2.795159785,16.53006183,7.764332737,45.91683842
7.764087385,45.91675818,17,123,,,,625252,85070,0.025252,-0.11493,2.795071459,16.53003294,7.764087385,45.91675818
7.763583902,45.91661571,30,131,,,,625213,85054,0.025213,-0.114946,2.794890205,16.52998165,7.763583902,45.91661571
7.76177742,45.9162521,6,96,113/82,,,625073,85013,0.025073,-0.114987,2.794239871,16.52985076,7.76177742,45.9162521
7.761791263,45.91641398,21,77,,,,625074,85031,0.025074,-0.114969,2.794244855,16.52990903,7.761791263,45.91641398
7.761818099,45.91659381,26,104,,,,625076,85051,0.025076,-0.114949,2.794254516,16.52997377,7.761818099,45.91659381
7.761663551,45.91661224,22,93,,,,625064,85053,0.025064,-0.114947,2.794198878,16.52998041,7.761663551,45.91661224
7.761574183,45.91675643,10,116,,,,625057,85069,0.025057,-0.114931,2.794166706,16.53003231,7.761574183,45.91675643
7.761665035,45.91686411,26,139,,,,625064,85081,0.025064,-0.114919,2.794199413,16.53007108,7.761665035,45.91686411
7.761755887,45.91697179,18,113,,,,625071,85093,0.025071,-0.114907,2.794232119,16.53010985,7.761755887,45.91697179
7.761743529,45.91706178,12,99,,,,625070,85103,0.02507,-0.114897,2.794227671,16.53014224,7.761743529,45.91706178
7.761937752,45.91721414,22,91,,,,625085,85120,0.025085,-0.11488,2.794297591,16.53019709,7.761937752,45.91721414
7.762169896,45.91724046,5,84,,,,625103,85123,0.025103,-0.114877,2.794381162,16.53020657,7.762169896,45.91724046
7.762298989,45.91727607,7,85,,,,625113,85127,0.025113,-0.114873,2.794427636,16.53021939,7.762298989,45.91727607
7.762543809,45.91726637,18,272,,,,625132,85126,0.025132,-0.114874,2.794515771,16.53021589,7.762543809,45.91726637
7.762607664,45.91716724,19,96,,,,625137,85115,0.025137,-0.114885,2.794538759,16.53018021,7.762607664,45.91716724
7.762698731,45.9173109,10,103,,,,625144,85131,0.025144,-0.114869,2.794571543,16.53023192,7.762698731,45.9173109
7.762866702,45.91738238,9,83,,,,625157,85139,0.025157,-0.114861,2.794632013,16.53025766,7.762866702,45.91738238
7.762970073,45.91742706,1,74,,,,625165,85144,0.025165,-0.114856,2.794669226,16.53027374,7.762970073,45.91742706
7.763007992,45.91730102,21,35,,,,625168,85130,0.025168,-0.11487,2.794682877,16.53022837,7.763007992,45.91730102
7.763162968,45.91735454,12,310,,,,625180,85136,0.02518,-0.114864,2.794738669,16.53024763,7.763162968,45.91735454
7.76330511,45.9174171,6,286,,,,625191,85143,0.025191,-0.114857,2.79478984,16.53027016,7.76330511,45.9174171
7.76348597,45.91748854,22,120,,,,625205,85151,0.025205,-0.114849,2.794854949,16.53029587,7.76348597,45.91748854
7.763627846,45.91750612,10,310,,,,625216,85153,0.025216,-0.114847,2.794906025,16.5303022,7.763627846,45.91750612
7.763860419,45.9176044,22,92,,,,625234,85164,0.025234,-0.114836,2.794989751,16.53033758,7.763860419,45.9176044
7.764040533,45.9175499,15,132,,,,625248,85158,0.025248,-0.114842,2.795054592,16.53031796,7.764040533,45.9175499
7.763975718,45.91748712,7,137,,,,625243,85151,0.025243,-0.114849,2.795031259,16.53029536,7.763975718,45.91748712
7.763640307,45.91743412,4,117,,,,625217,85145,0.025217,-0.114855,2.794910511,16.53027628,7.763640307,45.91743412
7.76326554,45.91726429,1,116,,,,625188,85126,0.025188,-0.114874,2.794775594,16.53021514,7.76326554,45.91726429
7.763200887,45.9172285,9,142,,,,625183,85122,0.025183,-0.114878,2.794752319,16.53020226,7.763200887,45.9172285
7.76357496,45.91728139,36,108,,,,625212,85128,0.025212,-0.114872,2.794886986,16.5302213,7.76357496,45.91728139
7.763768495,45.91731681,29,114,,,,625227,85132,0.025227,-0.114868,2.794956658,16.53023405,7.763768495,45.91731681
7.764116526,45.9173248,12,109,,,,625254,85133,0.025254,-0.114867,2.795081949,16.53023693,7.764116526,45.9173248
7.764169361,45.91754053,16,118,,,,625258,85157,0.025258,-0.114843,2.79510097,16.53031459,7.764169361,45.91754053
7.764170269,45.91769345,24,109,,,,625258,85174,0.025258,-0.114826,2.795101297,16.53036964,7.764170269,45.91769345
7.764377228,45.91781879,25,91,,,,625274,85188,0.025274,-0.114812,2.795175802,16.53041476,7.764377228,45.91781879
7.764557021,45.91771032,9,180,,,,625288,85176,0.025288,-0.114824,2.795240527,16.53037572,7.764557021,45.91771032
7.764568946,45.91754837,19,115,,,,625289,85158,0.025289,-0.114842,2.795244821,16.53031741,7.764568946,45.91754837
7.764439263,45.91741382,25,119,,,,625279,85143,0.025279,-0.114857,2.795198135,16.53026897,7.764439263,45.91741382
7.764774674,45.91746682,19,189,,,,625305,85149,0.025305,-0.114851,2.795318883,16.53028805,7.764774674,45.91746682
7.764799701,45.91734081,19,133,,,,625307,85135,0.025307,-0.114865,2.795327892,16.53024269,7.764799701,45.91734081
7.76442584,45.9173239,21,187,,,,625278,85133,0.025278,-0.114867,2.795193302,16.53023661,7.76442584,45.9173239
7.764168239,45.91735164,10,149,,,,625258,85136,0.025258,-0.114864,2.795100566,16.53024659,7.764168239,45.91735164
7.763020614,45.917256,40,69,,,,625169,85125,0.025169,-0.114875,2.794687421,16.53021216,7.763020614,45.917256
