Schistosity (strike),Dip,Photo,Orientation,Fold hinge (dip),Orientation,Mineral lineation (dip),Orientation,Crenulation (strike),Dip,Orientation,Dyke orientation (strike),Dip,Orientation,GPS,,,,Fold hinge,y,x,y',x',long',lat',long WGS84,lat WGS84,,Photo
15,68,IMG_7408.jpg,N,,,,,,,,,,,625539,83270,,,,625539,83270,0.025539,-0.11673,2.796368046,16.52420019,7.767689018,45.90055609,,IMG_7408.jpg
34,58,IMG_7408.jpg,N,,,,,,,,,,,625549,83267,,,,625549,83267,0.025549,-0.116733,2.796414371,16.52419034,7.767817697,45.90052872,,IMG_7408.jpg
107,70,IMG_7408.jpg,SW,,,,,,,,,,,625604,83515,,,,625604,83515,0.025604,-0.116485,2.796674309,16.52499268,7.768539747,45.90275745,,IMG_7408.jpg
,,IMG_7408.jpg,,,,46-297,,,,,,,,625604,83515,,,,625604,83515,0.025604,-0.116485,2.796674309,16.52499268,7.768539747,45.90275745,,IMG_7408.jpg
78,18,IMG_7408.jpg,S,,,11-043,,,,,,,,625846,83581,,,,625846,83581,0.025846,-0.116419,2.797798117,16.5252031,7.771661437,45.90334194,,IMG_7408.jpg
58,65,IMG_7408.jpg,NW,,,69-334,,,,,,,,625806,83450,,,,625806,83450,0.025806,-0.11655,2.797610004,16.52477943,7.771138899,45.9021651,,IMG_7408.jpg
55,52,IMG_7408.jpg,NW,,,,,,,,,,,625804,83442,,,,625804,83442,0.025804,-0.116558,2.79760057,16.52475356,7.771112693,45.90209321,,IMG_7408.jpg
58,74,IMG_7408.jpg,NW,,,07-230,,,,,,,,625787,83432,,,,625787,83432,0.025787,-0.116568,2.79752152,16.52472141,7.770893112,45.90200391,,IMG_7408.jpg
44,84,IMG_7408.jpg,NW,80-255,255,,,,,,,,,625805,83421,,,255,625805,83421,0.025805,-0.116579,2.797604796,16.52468554,7.771124432,45.90190428,,IMG_7408.jpg
38,68,IMG_7408.jpg,NW,22-227,227,,,,,,,,,625878,83432,,,227,625878,83432,0.025878,-0.116568,2.797943615,16.52472016,7.772065598,45.90200044,,IMG_7408.jpg
21,57,IMG_7408.jpg,NW,,,40-326,,,,,,,,625915,83437,,,,625915,83437,0.025915,-0.116563,2.798115335,16.52473584,7.772542597,45.902044,,IMG_7408.jpg
21,69,IMG_7408.jpg,NW,,,,,,,,,,,625951,83435,,,,625951,83435,0.025951,-0.116565,2.798282278,16.52472887,7.773006329,45.90202463,,IMG_7408.jpg
90,75,IMG_7408.jpg,S,3-270,270,,,,,,,,,625870,83633,,,270,625870,83633,0.02587,-0.116367,2.797910466,16.52537116,7.771973516,45.90380877,,IMG_7408.jpg
,,IMG_7408.jpg,,,,,,,,,030/76 NW,,,625885,83569,,,,625885,83569,0.025885,-0.116431,2.797978783,16.5251637,7.772163287,45.90323251,,IMG_7408.jpg
70,66,IMG_7408.jpg,S,,,,,,,,,,,625929,83521,,,,625929,83521,0.025929,-0.116479,2.79818193,16.52500766,7.772727585,45.90279906,,IMG_7408.jpg
29,69,IMG_7408.jpg,SE,,,,,,,,,,,625937,83495,,,,625937,83495,0.025937,-0.116505,2.798218525,16.52492336,7.772829236,45.90256488,,IMG_7408.jpg
33,49,IMG_7408.jpg,SE,,,,,,,,,,,625952,83514,,,,625952,83514,0.025952,-0.116486,2.798288477,16.52498468,7.773023547,45.90273521,,IMG_7408.jpg
,,IMG_7408.jpg,,23-200,200,,,,,,,,,625971,83519,,,200,625971,83519,0.025971,-0.116481,2.798376707,16.5250006,7.77326863,45.90277946,,IMG_7408.jpg
2,46,IMG_7408.jpg,W,,,10-193,,,,,,,,626006,83509,,,,626006,83509,0.026006,-0.116491,2.798538855,16.52496774,7.773719043,45.90268816,,IMG_7408.jpg
173,27,IMG_7408.jpg,W,,,14-195,,,,,,,,626017,83508,,,,626017,83508,0.026017,-0.116492,2.798589859,16.52496435,7.773860719,45.90267874,,IMG_7408.jpg
161,25,IMG_7408.jpg,W,,,19-190,,,,,,,,625028,83532,,,,625028,83532,0.025028,-0.116468,2.794002872,16.52505548,7.761119088,45.9029319,,IMG_7408.jpg
67,22,IMG_7408.jpg,SE,24-203,203,,,,,,,,,626048,83526,,,203,626048,83526,0.026048,-0.116474,2.798734008,16.52502221,7.774261133,45.90283947,,IMG_7408.jpg
17,46,IMG_7408.jpg,W,09-217,217,,,,,,,,,626075,83514,,,217,626075,83514,0.026075,-0.116486,2.798859009,16.52498297,7.774608358,45.90273048,,IMG_7408.jpg
,,IMG_7408.jpg,,30-233,233,,,,,,,,,626070,83553,,,233,626070,83553,0.02607,-0.116447,2.79883659,16.52510934,7.774546084,45.90308149,,IMG_7408.jpg
4,22,IMG_7408.jpg,W,,,,,,,,,,,626081,83570,,,,626081,83570,0.026081,-0.11643,2.798887951,16.52516423,7.774688753,45.90323398,,IMG_7408.jpg
52,85,IMG_7408.jpg,SE,04-229,229,,,,,,,,,626065,83607,,,229,626065,83607,0.026065,-0.116393,2.798814469,16.52528427,7.774484636,45.90356742,,IMG_7408.jpg
34,76,IMG_7408.jpg,W,,,,,,,,,,,626091,83679,,,,626091,83679,0.026091,-0.116321,2.798936501,16.52551707,7.774823613,45.90421407,,IMG_7408.jpg
148,55,IMG_7408.jpg,E,38-209,209,,,,,,,,,626133,83671,,,209,626133,83671,0.026133,-0.116329,2.799131163,16.52549058,7.77536434,45.90414049,,IMG_7408.jpg
6,42,IMG_7408.jpg,W,14-178,178,,,,,,,,,626133,83671,,,178,626133,83671,0.026133,-0.116329,2.799131163,16.52549058,7.77536434,45.90414049,,IMG_7408.jpg
,,IMG_7408.jpg,,27-207,207,,,,,,,,,626191,83610,,,207,626191,83610,0.026191,-0.11639,2.799398985,16.52529224,7.776108291,45.90358955,,IMG_7408.jpg
22,84,IMG_7408.jpg,E,10-213,213,,,,,,,,,626249,83675,,,213,626249,83675,0.026249,-0.116325,2.799669319,16.52550191,7.776859218,45.90417199,,IMG_7408.jpg
44,38,IMG_7408.jpg,SE,17-203,203,,,,,,,,,626366,83635,,,203,626366,83635,0.026366,-0.116365,2.800211231,16.52537075,7.77836453,45.90380763,,IMG_7408.jpg
21,79,IMG_7408.jpg,E,,,,,,,,,,,626384,83661,,,,626384,83661,0.026384,-0.116339,2.800295247,16.52545469,7.778597908,45.90404081,,IMG_7408.jpg
35,37,IMG_7408.jpg,E,06-194,194,,,,,,,,,626382,83704,,,194,626382,83704,0.026382,-0.116296,2.800286833,16.52559396,7.778574537,45.90442768,,IMG_7408.jpg
136,88,IMG_7408.jpg,SW,,,,,,,,,,,626398,83721,,,,626398,83721,0.026398,-0.116279,2.800361393,16.52564879,7.778781646,45.90457997,,IMG_7408.jpg
45,56,IMG_7408.jpg,E,,,,,,,,,,,626408,83762,,,,626408,83762,0.026408,-0.116238,2.800408603,16.52578142,7.778912786,45.90494838,,IMG_7408.jpg
26,62,IMG_7408.jpg,W,13-212,212,,,,,,,,,626219,83807,,,212,626219,83807,0.026219,-0.116193,2.799532795,16.52592978,7.776479986,45.90536051,,IMG_7408.jpg
167,30,IMG_7408.jpg,E,,,,,,,,,,,626219,83807,,,,626219,83807,0.026219,-0.116193,2.799532795,16.52592978,7.776479986,45.90536051,,IMG_7408.jpg
48,83,IMG_7408.jpg,W,,,,,,,,,,,626092,83736,,,,626092,83736,0.026092,-0.116264,2.798942271,16.52570163,7.774839642,45.90472676,,IMG_7408.jpg
82,22,IMG_7408.jpg,W,,,,,,,,,,,626069,83719,,,,626069,83719,0.026069,-0.116281,2.798835245,16.5256469,7.774542348,45.90457473,,IMG_7408.jpg
69,76,IMG_7408.jpg,N,20-047,47,,,,,,,,,626069,83719,,,47,626069,83719,0.026069,-0.116281,2.798835245,16.5256469,7.774542348,45.90457473,,IMG_7408.jpg
31,20,IMG_7408.jpg,N,18-006,6,,,,,,,,,626035,83716,,,6,626035,83716,0.026035,-0.116284,2.798677473,16.52563766,7.774104091,45.90454905,,IMG_7408.jpg
89,28,IMG_7408.jpg,S,,,,,,,,,,,626014,83722,,,,626014,83722,0.026014,-0.116278,2.79858018,16.52565738,7.773833834,45.90460383,,IMG_7408.jpg
136,23,IMG_7408.jpg,NE,,,,,,,,,,,625975,83691,,,,625975,83691,0.025975,-0.116309,2.798398661,16.52555753,7.773329614,45.90432647,,IMG_7408.jpg
132,46,IMG_7408.jpg,NE,,,,,,,,,,,625985,83739,,,,625985,83739,0.025985,-0.116261,2.798445996,16.52571283,7.773461101,45.90475786,,IMG_7408.jpg
123,76,IMG_7408.jpg,W,70-205,205,,,,,,,,,626013,83744,,,205,626013,83744,0.026013,-0.116256,2.798575977,16.52572863,7.773822159,45.90480176,,IMG_7408.jpg
27,52,IMG_7408.jpg,NW,,,,,,,,,,,626033,83746,,,,626033,83746,0.026033,-0.116254,2.79866879,16.52573483,7.774079972,45.90481898,,IMG_7408.jpg
53,30,IMG_7408.jpg,W,,,,,,,,,,,626060,83754,,,,626060,83754,0.02606,-0.116246,2.798794192,16.52576037,7.774428311,45.9048899,,IMG_7408.jpg
157,54,IMG_7408.jpg,W,30-227,227,,,,,,,,,626058,83767,,,227,626058,83767,0.026058,-0.116233,2.798785172,16.52580249,7.774403257,45.90500692,,IMG_7408.jpg
57,55,IMG_7408.jpg,SE,,,,,,,,,,,626059,83795,,,,626059,83795,0.026059,-0.116205,2.798790366,16.52589315,7.774417685,45.90525874,,IMG_7408.jpg
0,47,IMG_7408.jpg,W,,,,,,,,,,,626059,83795,,,,626059,83795,0.026059,-0.116205,2.798790366,16.52589315,7.774417685,45.90525874,,IMG_7408.jpg
6,27,IMG_7408.jpg,W,,,,,,,,,,,626050,83819,,,,626050,83819,0.02605,-0.116181,2.798749094,16.52597099,7.774303039,45.90547497,,IMG_7408.jpg
44,74,IMG_7408.jpg,E,,,,,,,,,,,626088,83814,,,,626088,83814,0.026088,-0.116186,2.798925265,16.52595427,7.774792404,45.90542854,,IMG_7408.jpg
22,40,IMG_7408.jpg,E,06-221,221,,,,,,,,,626055,83854,,,221,626055,83854,0.026055,-0.116146,2.798772982,16.52608426,7.774369394,45.90578961,,IMG_7408.jpg
60,26,IMG_7408.jpg,E,04-225,225,,,,,,,,,626080,83847,,,225,626080,83847,0.02608,-0.116153,2.798888811,16.52606125,7.774691142,45.90572568,,IMG_7408.jpg
38,66,IMG_7408.jpg,E,12-217,217,,,,,,,,,626119,83854,,,217,626119,83854,0.026119,-0.116146,2.79906986,16.52608337,7.775194056,45.90578715,,IMG_7408.jpg
50,81,IMG_7408.jpg,W,10-245,245,,,,,,,,,626124,83832,,,245,626124,83832,0.026124,-0.116168,2.799092616,16.52601206,7.775257268,45.90558906,,IMG_7408.jpg
40,87,IMG_7408.jpg,W,,,,,,,,,,,626144,83821,,,,626144,83821,0.026144,-0.116179,2.799185172,16.52597616,7.775514366,45.90548934,,IMG_7408.jpg
30,39,IMG_7408.jpg,NW,,,,,,,,,,,626162,83833,,,,626162,83833,0.026162,-0.116167,2.799268907,16.52601477,7.775746965,45.90559659,,IMG_7408.jpg
30,72,IMG_7408.jpg,NW,20-222,222,,,,,,,,,626179,83836,,,222,626179,83836,0.026179,-0.116164,2.799347825,16.52602425,7.775966181,45.90562292,,IMG_7408.jpg
36,79,IMG_7408.jpg,W,04-222,222,,,,,,,,,626184,83865,,,222,626184,83865,0.026184,-0.116135,2.799371597,16.52611809,7.776032213,45.90588358,,IMG_7408.jpg
,,IMG_7408.jpg,,,,31-195,,,,,095/35 S,,,626127,83918,,,,626127,83918,0.026127,-0.116082,2.799108243,16.52629051,7.775300675,45.90636253,,IMG_7408.jpg
143,36,IMG_7408.jpg,SW,,,28-218,,,,,083/76 S,,,616132,83939,,,,616132,83939,0.016132,-0.116061,2.752743642,16.52647078,7.646510116,45.90686327,,IMG_7408.jpg
