x,y,Schistosity,Schistosity S1,Crenulation,Mineral Lineation SW,Mineral Lineation N,Fold hinge SW,Fold hinge N,Magmatic lineation,Dyke orientation,GPS,,,,,,,
7.768050076,45.90274989,166/38 W,,,63-266,,,,,,625566,83514,0.025566,-0.116486,2.796498027,16.52498996,7.768050076,45.90274989
7.774957622,45.90295432,,,,20-215,,,,,,626102,83539,0.026102,-0.116461,2.798984744,16.52506356,7.774957622,45.90295432
7.7599547,45.91531281,055/72 NW,,,,49-298,,,,,624932,84908,0.024932,-0.115092,2.793583692,16.52951261,7.7599547,45.91531281
7.759670066,45.91512472,051/61 NW,,,,10-042,,,,,624910,84887,0.02491,-0.115113,2.793481224,16.5294449,7.759670066,45.91512472
7.75950237,45.91509822,025/47 NW,,053/54 NW,,05-014,30-248,,,,624897,84884,0.024897,-0.115116,2.793420853,16.52943536,7.75950237,45.91509822
7.759413052,45.91525139,048/58 NW,,,,,,,,,624890,84901,0.02489,-0.115099,2.793388699,16.5294905,7.759413052,45.91525139
7.760189421,45.9157799,123/56 SW,,,,31-353,36-250,,,,624950,84960,0.02495,-0.11504,2.793668192,16.52968076,7.760189421,45.9157799
7.760086267,45.9157712,123/56 SW,,,,,40-252,,,,624942,84959,0.024942,-0.115041,2.793631056,16.52967763,7.760086267,45.9157712
7.760086267,45.9157712,131/59 SW,,,,,56-207,,,,624942,84959,0.024942,-0.115041,2.793631056,16.52967763,7.760086267,45.9157712
7.760086267,45.9157712,140/56 SW,,,,,53-198,,,,624942,84959,0.024942,-0.115041,2.793631056,16.52967763,7.760086267,45.9157712
7.760086267,45.9157712,,,,,,44-245,,,,624942,84959,0.024942,-0.115041,2.793631056,16.52967763,7.760086267,45.9157712
7.760086267,45.9157712,,,,,,70-210,,,,624942,84959,0.024942,-0.115041,2.793631056,16.52967763,7.760086267,45.9157712
7.760189105,45.91572593,102/64 SW,,,,,22-260,,,,624950,84954,0.02495,-0.115046,2.793668078,16.52966133,7.760189105,45.91572593
7.760189105,45.91572593,,,,,,15-261,,,,624950,84954,0.02495,-0.115046,2.793668078,16.52966133,7.760189105,45.91572593
7.760189105,45.91572593,083/73 S,,,,,73-176,,,,624950,84954,0.02495,-0.115046,2.793668078,16.52966133,7.760189105,45.91572593
7.760511244,45.91571601,,,,,,,,,080/83 S,624975,84953,0.024975,-0.115047,2.793784048,16.52965776,7.760511244,45.91571601
7.761396507,45.91722469,,,,,26-055,,,,,625043,85121,0.025043,-0.114879,2.794102742,16.53020089,7.761396507,45.91722469
7.761280567,45.91723402,,028/50 NW,,08-203,,,,,,625034,85122,0.025034,-0.114878,2.794061004,16.53020425,7.761280567,45.91723402
7.761371684,45.91738668,,018/51 NW,,15-200,12-358,,,,,625041,85139,0.025041,-0.114861,2.794093806,16.53025921,7.761371684,45.91738668
7.761473517,45.9171705,,066/43 NW,,03-233,06-053,,,,,625049,85115,0.025049,-0.114885,2.794130466,16.53018138,7.761473517,45.9171705
7.761668799,45.91750277,,063/32 NW,,,18-033,,,,,625064,85152,0.025064,-0.114848,2.794200768,16.530301,7.761668799,45.91750277
7.761668799,45.91750277,,,,,31-342,,,,,625064,85152,0.025064,-0.114848,2.794200768,16.530301,7.761668799,45.91750277
7.762520531,45.91768922,,038/44 NW,,06-225,,,,,,625130,85173,0.02513,-0.114827,2.794507391,16.53036812,7.762520531,45.91768922
7.763295419,45.91795685,,044/49 NW,,11-240,,,,,,625190,85203,0.02519,-0.114797,2.794786351,16.53046446,7.763295419,45.91795685
7.763593768,45.91827982,,052/52 NW,,,38-001,,,,,625213,85239,0.025213,-0.114761,2.794893757,16.53058073,7.763593768,45.91827982
7.761451873,45.9178722,038/49 NW,,,,,,,,,625047,85193,0.025047,-0.114807,2.794122674,16.53043399,7.761451873,45.9178722
7.761077216,45.91772035,061/51 NW,,,21-257,,,,,,625018,85176,0.025018,-0.114824,2.793987798,16.53037933,7.761077216,45.91772035
7.760741859,45.91767634,,,,22-244,,,,,,624992,85171,0.024992,-0.114829,2.793867069,16.53036348,7.760741859,45.91767634
7.760457263,45.91749725,036/53 NW,,,35-218,,,,,,624970,85151,0.02497,-0.114849,2.793764615,16.53029901,7.760457263,45.91749725
7.760457263,45.91749725,,,,43-250,,,,,,624970,85151,0.02497,-0.114849,2.793764615,16.53029901,7.760457263,45.91749725
7.759195962,45.91559383,014/55 NW,,,55-230,,,,,,624873,84939,0.024873,-0.115061,2.793310546,16.52961378,7.759195962,45.91559383
7.761321474,45.91542584,,032/47 NW,,,,,,,,625038,84921,0.025038,-0.115079,2.794075731,16.5295533,7.761321474,45.91542584
7.761735045,45.91562255,,,,,55-329,,,,,625070,84943,0.02507,-0.115057,2.794224616,16.52962412,7.761735045,45.91562255
7.761799643,45.91564935,058/45 NW,,,,60-019,,,,,625075,84946,0.025075,-0.115054,2.794247871,16.52963377,7.761799643,45.91564935
7.76260139,45.91610581,069/60 NW,,,20-250,,,,,,625137,84997,0.025137,-0.115003,2.794536501,16.52979809,7.76260139,45.91610581
7.76261465,45.91616874,078/76 N,,,10-280,,,,,,625138,85004,0.025138,-0.114996,2.794541274,16.52982074,7.76261465,45.91616874
7.762975189,45.91611372,054/57 NW,,,,,,,,,625166,84998,0.025166,-0.115002,2.794671068,16.52980094,7.762975189,45.91611372
7.762974817,45.91605076,095/78 N,,,,,78-313,,,,625166,84991,0.025166,-0.115009,2.794670934,16.52977827,7.762974817,45.91605076
7.749740492,45.91634002,095/88 S,,,,10-091,68-308,,,,624139,85019,0.024139,-0.114981,2.789906577,16.52988241,7.749740492,45.91634002
7.762254589,45.9163047,,,,,,64-236,,,,625110,85019,0.02511,-0.114981,2.794411652,16.52986969,7.762254589,45.9163047
7.763276617,45.91695842,,,,,,,,,024/60 W,625189,85092,0.025189,-0.114908,2.794779582,16.53010503,7.763276617,45.91695842
7.763149015,45.91717467,151/42 SW,,,,06-325,,,,,625179,85116,0.025179,-0.114884,2.794733645,16.53018288,7.763149015,45.91717467
7.76317559,45.91730953,,,,,38-344,,,,,625181,85131,0.025181,-0.114869,2.794743212,16.53023143,7.76317559,45.91730953
7.762892851,45.91744527,061/52 NW,,,,,,,,,625159,85146,0.025159,-0.114854,2.794641426,16.5302803,7.762892851,45.91744527
7.761982617,45.9160806,,,,,,,,12-097,103/73 SW,625089,84994,0.025089,-0.115006,2.794313742,16.52978902,7.761982617,45.9160806
7.762163737,45.91619702,,,,,,,,18-114,117/88 SW,625103,85007,0.025103,-0.114993,2.794378945,16.52983093,7.762163737,45.91619702
7.762022024,45.91620642,,,,,,,,22-113,125/83 SW,625092,85008,0.025092,-0.114992,2.794327929,16.52983431,7.762022024,45.91620642
7.761544698,45.91612684,,,,,,,,24-260,,625055,84999,0.025055,-0.115001,2.794156091,16.52980566,7.761544698,45.91612684
7.762331597,45.91625051,,,,,,,,24-070,100/72 S,625116,85013,0.025116,-0.114987,2.794439375,16.52985018,7.762331597,45.91625051
7.762576465,45.9162498,,,,,,,,09-239,088/89 S,625135,85013,0.025135,-0.114987,2.794527528,16.52984993,7.762576465,45.9162498
7.762718444,45.91628538,,,,,,,,21-087,,625146,85017,0.025146,-0.114983,2.79457864,16.52986274,7.762718444,45.91628538
7.762654803,45.91642049,,,,,,,,07-100,088/87 S,625141,85032,0.025141,-0.114968,2.794555729,16.52991138,7.762654803,45.91642049
7.762809351,45.91640205,,,,,,,,14-124,100/84 S,625153,85030,0.025153,-0.11497,2.794611366,16.52990474,7.762809351,45.91640205
7.762950691,45.91632968,,,,,,,,30-110,,625164,85022,0.025164,-0.114978,2.794662249,16.52987869,7.762950691,45.91632968
7.763105771,45.9164012,,,,,,,,31-093,071/83 SE,625176,85030,0.025176,-0.11497,2.794718078,16.52990443,7.763105771,45.9164012
7.763080528,45.91649122,,,,,,,,10-083,084/76 S,625174,85040,0.025174,-0.11496,2.79470899,16.52993684,7.763080528,45.91649122
7.763274113,45.91653564,,,,,,,,32-132,,625189,85045,0.025189,-0.114955,2.794778681,16.52995283,7.763274113,45.91653564
7.763262024,45.91667061,,,,,,,,32-132,095/80 S,625188,85060,0.025188,-0.11494,2.794774329,16.53000142,7.763262024,45.91667061
7.763288439,45.91677848,,,,,,,,24-128,090/78 S,625190,85072,0.02519,-0.114928,2.794783838,16.53004025,7.763288439,45.91677848
7.762927417,45.91675253,,,,,,,,38-152,088/74 S,625162,85069,0.025162,-0.114931,2.79465387,16.53003091,7.762927417,45.91675253
7.762721795,45.91685207,,,,,,,,45-135,135/56,625146,85080,0.025146,-0.11492,2.794579846,16.53006675,7.762721795,45.91685207
7.762825112,45.91688776,,,,,,,,32-098,,625154,85084,0.025154,-0.114916,2.79461704,16.53007959,7.762825112,45.91688776
7.762980033,45.91693229,,,,,,,,25-187,,625166,85089,0.025166,-0.114911,2.794672812,16.53009562,7.762980033,45.91693229
7.763006235,45.91700417,,,,,,,,30-150,105/68 SW,625168,85097,0.025168,-0.114903,2.794682245,16.5301215,7.763006235,45.91700417
7.76327699,45.91702138,,,,,,,,28-216,,625189,85099,0.025189,-0.114901,2.794779716,16.5301277,7.76327699,45.91702138
7.763380254,45.91704807,,,,,,,,08-143,,625197,85102,0.025197,-0.114898,2.794816891,16.53013731,7.763380254,45.91704807
7.763483038,45.9169938,,,,,,,,44-133,,625205,85096,0.025205,-0.114904,2.794853894,16.53011777,7.763483038,45.9169938
7.763779408,45.91698395,,,,,,,,19-171,,625228,85095,0.025228,-0.114905,2.794960587,16.53011422,7.763779408,45.91698395
7.764011606,45.91701926,,,,,,,,15-213,,625246,85099,0.025246,-0.114901,2.795044178,16.53012693,7.764011606,45.91701926
7.764075725,45.9169651,,,,,,,,28-158,,625251,85093,0.025251,-0.114907,2.795067261,16.53010744,7.764075725,45.9169651
7.764397765,45.91693718,,,,,,,,29-120,,625276,85090,0.025276,-0.11491,2.795183195,16.53009739,7.764397765,45.91693718
7.764332737,45.91683842,,,,,,,,39-086,,625271,85079,0.025271,-0.114921,2.795159785,16.53006183,7.764332737,45.91683842
7.764087385,45.91675818,,,,,,,,17-123,,625252,85070,0.025252,-0.11493,2.795071459,16.53003294,7.764087385,45.91675818
7.763583902,45.91661571,,,,,,,,30-131,,625213,85054,0.025213,-0.114946,2.794890205,16.52998165,7.763583902,45.91661571
7.76177742,45.9162521,,,,,,,,06-096,113/82,625073,85013,0.025073,-0.114987,2.794239871,16.52985076,7.76177742,45.9162521
7.761791263,45.91641398,,,,,,,,21-077,,625074,85031,0.025074,-0.114969,2.794244855,16.52990903,7.761791263,45.91641398
7.761818099,45.91659381,,,,,,,,26-104,,625076,85051,0.025076,-0.114949,2.794254516,16.52997377,7.761818099,45.91659381
7.761663551,45.91661224,,,,,,,,22-093,,625064,85053,0.025064,-0.114947,2.794198878,16.52998041,7.761663551,45.91661224
7.761574183,45.91675643,,,,,,,,10-116,,625057,85069,0.025057,-0.114931,2.794166706,16.53003231,7.761574183,45.91675643
7.761665035,45.91686411,,,,,,,,26-139,,625064,85081,0.025064,-0.114919,2.794199413,16.53007108,7.761665035,45.91686411
7.761755887,45.91697179,,,,,,,,18-113,,625071,85093,0.025071,-0.114907,2.794232119,16.53010985,7.761755887,45.91697179
7.761743529,45.91706178,,,,,,,,12-099,,625070,85103,0.02507,-0.114897,2.794227671,16.53014224,7.761743529,45.91706178
7.761937752,45.91721414,,,,,,,,22-091,,625085,85120,0.025085,-0.11488,2.794297591,16.53019709,7.761937752,45.91721414
7.762169896,45.91724046,,,,,,,,05-084,,625103,85123,0.025103,-0.114877,2.794381162,16.53020657,7.762169896,45.91724046
7.762298989,45.91727607,,,,,,,,07-085,,625113,85127,0.025113,-0.114873,2.794427636,16.53021939,7.762298989,45.91727607
7.762543809,45.91726637,,,,,,,,18-272,,625132,85126,0.025132,-0.114874,2.794515771,16.53021589,7.762543809,45.91726637
7.762607664,45.91716724,,,,,,,,19-096,,625137,85115,0.025137,-0.114885,2.794538759,16.53018021,7.762607664,45.91716724
7.762698731,45.9173109,,,,,,,,10-103,,625144,85131,0.025144,-0.114869,2.794571543,16.53023192,7.762698731,45.9173109
7.762866702,45.91738238,,,,,,,,09-083,,625157,85139,0.025157,-0.114861,2.794632013,16.53025766,7.762866702,45.91738238
7.762970073,45.91742706,,,,,,,,01-074,,625165,85144,0.025165,-0.114856,2.794669226,16.53027374,7.762970073,45.91742706
7.763007992,45.91730102,,,,,,,,21-035,,625168,85130,0.025168,-0.11487,2.794682877,16.53022837,7.763007992,45.91730102
7.763162968,45.91735454,,,,,,,,12-310,,625180,85136,0.02518,-0.114864,2.794738669,16.53024763,7.763162968,45.91735454
7.76330511,45.9174171,,,,,,,,06-286,,625191,85143,0.025191,-0.114857,2.79478984,16.53027016,7.76330511,45.9174171
7.76348597,45.91748854,,,,,,,,22-120,,625205,85151,0.025205,-0.114849,2.794854949,16.53029587,7.76348597,45.91748854
7.763627846,45.91750612,,,,,,,,10-310,,625216,85153,0.025216,-0.114847,2.794906025,16.5303022,7.763627846,45.91750612
7.763860419,45.9176044,,,,,,,,22-092,,625234,85164,0.025234,-0.114836,2.794989751,16.53033758,7.763860419,45.9176044
7.764040533,45.9175499,,,,,,,,15-132,,625248,85158,0.025248,-0.114842,2.795054592,16.53031796,7.764040533,45.9175499
7.763975718,45.91748712,,,,,,,,07-137,,625243,85151,0.025243,-0.114849,2.795031259,16.53029536,7.763975718,45.91748712
7.763640307,45.91743412,,,,,,,,04-117,,625217,85145,0.025217,-0.114855,2.794910511,16.53027628,7.763640307,45.91743412
7.76326554,45.91726429,,,,,,,,01-116,,625188,85126,0.025188,-0.114874,2.794775594,16.53021514,7.76326554,45.91726429
7.763200887,45.9172285,,,,,,,,09-142,,625183,85122,0.025183,-0.114878,2.794752319,16.53020226,7.763200887,45.9172285
7.76357496,45.91728139,,,,,,,,36-108,,625212,85128,0.025212,-0.114872,2.794886986,16.5302213,7.76357496,45.91728139
7.763768495,45.91731681,,,,,,,,29-114,,625227,85132,0.025227,-0.114868,2.794956658,16.53023405,7.763768495,45.91731681
7.764116526,45.9173248,,,,,,,,12-109,,625254,85133,0.025254,-0.114867,2.795081949,16.53023693,7.764116526,45.9173248
7.764169361,45.91754053,,,,,,,,16-118,,625258,85157,0.025258,-0.114843,2.79510097,16.53031459,7.764169361,45.91754053
7.764170269,45.91769345,,,,,,,,24-109,,625258,85174,0.025258,-0.114826,2.795101297,16.53036964,7.764170269,45.91769345
7.764377228,45.91781879,,,,,,,,25-091,,625274,85188,0.025274,-0.114812,2.795175802,16.53041476,7.764377228,45.91781879
7.764557021,45.91771032,,,,,,,,09-180,,625288,85176,0.025288,-0.114824,2.795240527,16.53037572,7.764557021,45.91771032
7.764568946,45.91754837,,,,,,,,19-115,,625289,85158,0.025289,-0.114842,2.795244821,16.53031741,7.764568946,45.91754837
7.764465467,45.9174857,061/74 NW,,,,35-064,,66-296,,,625281,85151,0.025281,-0.114849,2.795207568,16.53029485,7.764465467,45.9174857
7.764439263,45.91741382,,,,,,,,25-119,,625279,85143,0.025279,-0.114857,2.795198135,16.53026897,7.764439263,45.91741382
7.764774674,45.91746682,,,,,,,,19-189,,625305,85149,0.025305,-0.114851,2.795318883,16.53028805,7.764774674,45.91746682
7.764799701,45.91734081,,,,,,,,19-133,,625307,85135,0.025307,-0.114865,2.795327892,16.53024269,7.764799701,45.91734081
7.76449028,45.91732372,189/82 S,,,,,48-255,,,,625283,85133,0.025283,-0.114867,2.795216501,16.53023654,7.76449028,45.91732372
7.76442584,45.9173239,,,,,,,,21-187,,625278,85133,0.025278,-0.114867,2.795193302,16.53023661,7.76442584,45.9173239
7.764168239,45.91735164,,,,,,,,10-149,,625258,85136,0.025258,-0.114864,2.795100566,16.53024659,7.764168239,45.91735164
7.763020614,45.917256,,,,,,,,40-069,,625169,85125,0.025169,-0.114875,2.794687421,16.53021216,7.763020614,45.917256
