x,y,Image,x GOS,y GPS,y',x',long',lat',long WGS84,lat WGS84
7.7599547,45.91531281,IMG_7657.jpeg,624932,84908,0.024932,-0.115092,2.793583692,16.52951261,7.7599547,45.91531281
7.772557617,45.9150872,IMG_7882.jpeg,625910,84887,0.02591,-0.115113,2.798120742,16.52943139,7.772557617,45.9150872
7.759502318,45.91508922,IMG_7665.jpeg,624897,84883,0.024897,-0.115117,2.793420834,16.52943212,7.759502318,45.91508922
7.75947828,45.91538614,IMG_7666.jpeg,624895,84916,0.024895,-0.115084,2.793412181,16.52953901,7.75947828,45.91538614
7.759931667,45.91578064,IMG_7667.jpeg,624930,84960,0.02493,-0.11504,2.7935754,16.52968103,7.759931667,45.91578064
7.760086267,45.9157712,IMG_7672.jpeg,624942,84959,0.024942,-0.115041,2.793631056,16.52967763,7.760086267,45.9157712
7.760189105,45.91572593,IMG_7674.jpeg,624950,84954,0.02495,-0.115046,2.793668078,16.52966133,7.760189105,45.91572593
7.760511244,45.91571601,IMG_7680.jpeg,624975,84953,0.024975,-0.115047,2.793784048,16.52965776,7.760511244,45.91571601
7.761343683,45.91700896,IMG_7683.jpeg,625039,85097,0.025039,-0.114903,2.794083726,16.53012322,7.761343683,45.91700896
7.761396507,45.91722469,IMG_7685.jpeg,625043,85121,0.025043,-0.114879,2.794102742,16.53020089,7.761396507,45.91722469
7.761280567,45.91723402,IMG_7689.jpeg,625034,85122,0.025034,-0.114878,2.794061004,16.53020425,7.761280567,45.91723402
7.761371684,45.91738668,IMG_7690.jpeg,625041,85139,0.025041,-0.114861,2.794093806,16.53025921,7.761371684,45.91738668
7.76115727,45.91599302,IMG_7694.jpeg,625025,84984,0.025025,-0.115016,2.794016617,16.52975749,7.76115727,45.91599302
7.761473517,45.9171705,IMG_7695.jpeg,625049,85115,0.025049,-0.114885,2.794130466,16.53018138,7.761473517,45.9171705
7.761371684,45.91738668,IMG_7697.jpeg,625041,85139,0.025041,-0.114861,2.794093806,16.53025921,7.761371684,45.91738668
7.762610748,45.91768896,IMG_7698.jpeg,625137,85173,0.025137,-0.114827,2.794539869,16.53036803,7.762610748,45.91768896
7.762856368,45.91781419,IMG_7699.jpeg,625156,85187,0.025156,-0.114813,2.794628293,16.53041311,7.762856368,45.91781419
7.763593768,45.91827982,IMG_7702.jpeg,625213,85239,0.025213,-0.114761,2.794893757,16.53058073,7.763593768,45.91827982
7.761451873,45.9178722,IMG_7703.jpeg,625047,85193,0.025047,-0.114807,2.794122674,16.53043399,7.761451873,45.9178722
7.760741859,45.91767634,IMG_7704.jpeg,624992,85171,0.024992,-0.114829,2.793867069,16.53036348,7.760741859,45.91767634
7.761321474,45.91542584,IMG_7706.jpeg,625038,84921,0.025038,-0.115079,2.794075731,16.5295533,7.761321474,45.91542584
7.761735045,45.91562255,IMG_7707.jpeg,625070,84943,0.02507,-0.115057,2.794224616,16.52962412,7.761735045,45.91562255
7.76260139,45.91610581,IMG_7710.jpeg,625137,84997,0.025137,-0.115003,2.794536501,16.52979809,7.76260139,45.91610581
7.762975189,45.91611372,IMG_7712.jpeg,625166,84998,0.025166,-0.115002,2.794671068,16.52980094,7.762975189,45.91611372
7.763080368,45.91646424,IMG_7714.jpeg,625174,85037,0.025174,-0.114963,2.794708933,16.52992713,7.763080368,45.91646424
7.763149015,45.91717467,IMG_7716.jpeg,625179,85116,0.025179,-0.114884,2.794733645,16.53018288,7.763149015,45.91717467
7.762892851,45.91744527,IMG_7717.jpeg,625159,85146,0.025159,-0.114854,2.794641426,16.5302803,7.762892851,45.91744527
7.762970073,45.91742706,IMG_7730.jpeg,625165,85144,0.025165,-0.114856,2.794669226,16.53027374,7.762970073,45.91742706
7.763975718,45.91748712,IMG_7731.jpeg,625243,85151,0.025243,-0.114849,2.795031259,16.53029536,7.763975718,45.91748712
7.764465467,45.9174857,IMG_7732.jpeg,625281,85151,0.025281,-0.114849,2.795207568,16.53029485,7.764465467,45.9174857
7.771661437,45.90334194,IMG_7748.jpeg,625846,83581,0.025846,-0.116419,2.797798117,16.5252031,7.771661437,45.90334194
7.774261133,45.90283947,IMG_7758.jpeg,626048,83526,0.026048,-0.116474,2.798734008,16.52502221,7.774261133,45.90283947
7.774991063,45.90420458,IMG_7760.jpeg,626104,83678,0.026104,-0.116322,2.798996783,16.52551365,7.774991063,45.90420458
7.775055377,45.90418639,IMG_7762.jpeg,626109,83676,0.026109,-0.116324,2.799019936,16.5255071,7.775055377,45.90418639
7.776108291,45.90358955,IMG_7763.jpeg,626191,83610,0.026191,-0.11639,2.799398985,16.52529224,7.776108291,45.90358955
