x,y,schistosity (strike),fold hinge,Image,x GOS,y GPS,y',x',long',lat',long WGS84,lat WGS84
7.756769365,45.91274021,133/48 SW,36-254,,624686,84621,0.024686,-0.115379,2.792436971,16.52858647,7.756769365,45.91274021
7.754600505,45.89195813,162/42 SW,38-256,,624527,82310,0.024527,-0.11769,2.791656182,16.52110493,7.754600505,45.89195813
7.76207799,45.9082184,084/79 S,,,625100,84120,0.0251,-0.11588,2.794348076,16.52695862,7.76207799,45.9082184
7.756635804,45.9163747,018/61 NW,22-018,,624674,85025,0.024674,-0.114975,2.792388889,16.52989489,7.756635804,45.9163747
7.792296334,45.90027449,005/32 W,40-226,boudin,627449,83247,0.027449,-0.116753,2.80522668,16.52409881,7.792296334,45.90027449
7.792020725,45.89949276,037/34 N,30-269,,627428,83160,0.027428,-0.11684,2.805127461,16.52381739,7.792020725,45.89949276
7.790716452,45.89902909,071/59 N,31-254,,627327,83108,0.027327,-0.116892,2.804657923,16.52365047,7.790716452,45.89902909
7.79095789,45.89850661,050/32 S,,,627346,83050,0.027346,-0.11695,2.804744841,16.52346238,7.79095789,45.89850661
7.789966861,45.89665667,170/29 W,30-213,,627270,82844,0.02727,-0.117156,2.80438807,16.5227964,7.789966861,45.89665667
7.788516538,45.89550079,068/42 N,,,627158,82715,0.027158,-0.117285,2.803865954,16.52238029,7.788516538,45.89550079
7.786213517,45.89598469,008/20 W,,,626979,82768,0.026979,-0.117232,2.803036866,16.52255449,7.786213517,45.89598469
7.785734865,45.89363839,153/34 W,35-221,,626943,82507,0.026943,-0.117493,2.802864552,16.52170982,7.785734865,45.89363839
7.784197215,45.89086357,123/31 W,30-224,,626825,82198,0.026825,-0.117802,2.802310998,16.52071089,7.784197215,45.89086357
7.779978418,45.88777308,110/40 S,40-191,,626499,81853,0.026499,-0.118147,2.80079223,16.51959831,7.779978418,45.88777308
8.092503155,46.05145968,097/83 N,16-281,,650609,100203,0.050609,-0.099797,2.913301136,16.57852548,8.092503155,46.05145968
8.086049557,46.05200968,124/22 SW,04-166,,650109,100260,0.050109,-0.09974,2.91097784,16.57872349,8.086049557,46.05200968
8.087224468,46.05520541,153/40 SW,02-130,,650197,100616,0.050197,-0.099384,2.911400808,16.57987395,8.087224468,46.05520541
8.087348116,46.05582541,154/41 SW,30-321,,650206,100685,0.050206,-0.099315,2.911445322,16.58009715,8.087348116,46.05582541
8.090698979,46.05943137,048/23 NW,13-326,,650462,101088,0.050462,-0.098912,2.912651632,16.58139529,8.090698979,46.05943137
8.085958333,46.05739866,143/45 SW,,,650097,100859,0.050097,-0.099141,2.910945,16.58066352,8.085958333,46.05739866
8.085189305,46.05683634,160/55 W,,,650038,100796,0.050038,-0.099204,2.91066815,16.58046108,8.085189305,46.05683634
8.084354689,46.05509595,001/28 W,40-273,,649975,100602,0.049975,-0.099398,2.910367688,16.57983454,8.084354689,46.05509595
8.079688424,46.05164123,039/68 NW,,,649617,100215,0.049617,-0.099785,2.908687833,16.57859084,8.079688424,46.05164123
8.079526061,46.04991497,170/16 E,10-011,,649606,100023,0.049606,-0.099977,2.908629382,16.57796939,8.079526061,46.04991497
8.072236182,46.04741938,172/70 E,11-024,,649044,99741,0.049044,-0.100259,2.906005026,16.57707098,8.072236182,46.04741938
8.068623479,46.03885772,180/50 W,15-160,,648772,98787,0.048772,-0.101213,2.904704452,16.57398878,8.068623479,46.03885772
8.072169856,46.03835207,169/58 SW,25-140,,649047,98733,0.049047,-0.101267,2.905981148,16.57380675,8.072169856,46.03835207
8.048733545,46.05876668,045/49 N,36-224,,647215,100988,0.047215,-0.099012,2.897544076,16.58115601,8.048733545,46.05876668
8.046906454,46.05946922,077/76 S,52-235,,647073,101065,0.047073,-0.098935,2.896886323,16.58140892,8.046906454,46.05946922
7.917590309,46.0602906,080/83 S,12-262,,637065,101087,0.037065,-0.098913,2.850332511,16.58170462,7.917590309,46.0602906
