x,y,schistosity (strike),fold hinge,Lineation,Image,x GOS,y GPS,y',x',long',lat',long WGS84,lat WGS84
7.760323214,45.91442122,175/48 W,,,7373,624961,84809,0.024961,-0.115191,2.793716357,16.52919164,7.760323214,45.91442122
7.761755995,45.91480391,,,,"7378,7379",625072,84852,0.025072,-0.115148,2.794232158,16.52932941,7.761755995,45.91480391
7.761190375,45.91504841,,70-305,,,625028,84879,0.025028,-0.115121,2.794028535,16.52941743,7.761190375,45.91504841
7.762396727,45.91636726,010/49 S,69-255,,7386,625121,85026,0.025121,-0.114974,2.794462822,16.52989221,7.762396727,45.91636726
7.76253929,45.91650178,,,,7388,625132,85041,0.025132,-0.114959,2.794514145,16.52994064,7.76253929,45.91650178
7.762979288,45.91680635,040/65 NW,,,,625166,85075,0.025166,-0.114925,2.794672544,16.53005029,7.762979288,45.91680635
7.7615001,45.91511949,,30-234,,"7399,7400,7401",625052,84887,0.025052,-0.115113,2.794140036,16.52944301,7.7615001,45.91511949
7.7615001,45.91511949,026/60 N,,,7403,625052,84887,0.025052,-0.115113,2.794140036,16.52944301,7.7615001,45.91511949
7.761998848,45.91664726,50-264,,,,625090,85057,0.02509,-0.114943,2.794319585,16.52999301,7.761998848,45.91664726
7.761318755,45.91715295,060/52 NW,,,,625037,85113,0.025037,-0.114887,2.794074752,16.53017506,7.761318755,45.91715295
7.761267149,45.91714411,052/45 NW,,,,625033,85112,0.025033,-0.114888,2.794056174,16.53017188,7.761267149,45.91714411
7.761410348,45.91738657,018/51 NW,,,,625044,85139,0.025044,-0.114861,2.794107725,16.53025917,7.761410348,45.91738657
7.762337865,45.91731194,050/45 NW,,,,625116,85131,0.025116,-0.114869,2.794441632,16.5302323,7.762337865,45.91731194
7.764093314,45.91775664,030/58 NW,,,,625252,85181,0.025252,-0.114819,2.795073593,16.53039239,7.764093314,45.91775664
7.764439637,45.91747678,055/74 NW,68-255,,,625279,85150,0.025279,-0.11485,2.795198269,16.53029164,7.764439637,45.91747678
7.763395753,45.9174888,086/69 W,,,,625198,85151,0.025198,-0.114849,2.794822471,16.53029597,7.763395753,45.9174888
7.760316556,45.91548269,040/60 NW,,,,624960,84927,0.02496,-0.115073,2.79371396,16.52957377,7.760316556,45.91548269
7.760859688,45.91579597,030/61 NW,,,,625002,84962,0.025002,-0.115038,2.793909488,16.52968655,7.760859688,45.91579597
7.761169099,45.91581308,,30-232,,,625026,84964,0.025026,-0.115036,2.794020876,16.52969271,7.761169099,45.91581308
7.761247008,45.9159118,345/38 W,,,,625032,84975,0.025032,-0.115025,2.794048923,16.52972825,7.761247008,45.9159118
7.761337328,45.91592953,,60-245,,,625039,84977,0.025039,-0.115023,2.794081438,16.52973463,7.761337328,45.91592953
7.761388879,45.91592939,089/71 S,,,,625043,84977,0.025043,-0.115023,2.794099996,16.52973458,7.761388879,45.91592939
7.76154438,45.91607286,304/69 SE,,,,625055,84993,0.025055,-0.115007,2.794155977,16.52978623,7.76154438,45.91607286
7.761107095,45.91622704,321/52 SE,29-355,,,625021,85010,0.025021,-0.11499,2.793998554,16.52984173,7.761107095,45.91622704
7.761106407,45.9161101,,49-240,,,625021,84997,0.025021,-0.115003,2.793998306,16.52979964,7.761106407,45.9161101
7.760784476,45.916156,014/48 NW,39-242,,,624996,85002,0.024996,-0.114998,2.793882412,16.52981616,7.760784476,45.916156
7.760412579,45.9164719,009/38 W,,,,624967,85037,0.024967,-0.114963,2.793748528,16.52992989,7.760412579,45.9164719
7.759907579,45.91606856,175/45 W,,,,624928,84992,0.024928,-0.115008,2.793566728,16.52978468,7.759907579,45.91606856
7.759637146,45.91610531,,32-236,,,624907,84996,0.024907,-0.115004,2.793469373,16.52979791,7.759637146,45.91610531
7.759426361,45.91532332,012/43 W,,,,624891,84909,0.024891,-0.115091,2.79339349,16.52951639,7.759426361,45.91532332
7.758753894,45.91492944,004/47 W,34-246,,,624839,84865,0.024839,-0.115135,2.793151402,16.5293746,7.758753894,45.91492944
7.75896225,45.91529765,,40-244,,,624855,84906,0.024855,-0.115094,2.79322641,16.52950716,7.75896225,45.91529765
7.758765888,45.91477648,,40-252,,,624840,84848,0.02484,-0.115152,2.79315572,16.52931953,7.758765888,45.91477648
7.759256297,45.91489203,,32-262,,,624878,84861,0.024878,-0.115139,2.793332267,16.52936113,7.759256297,45.91489203
7.760420661,45.9156533,174/43 W,,,,624968,84946,0.024968,-0.115054,2.793751438,16.52963519,7.760420661,45.9156533
7.760253596,45.91573474,078/74 SW,,,,624955,84955,0.024955,-0.115045,2.793691294,16.52966451,7.760253596,45.91573474
7.760594277,45.91668727,180/54 W,54-248,,,624981,85061,0.024981,-0.114939,2.79381394,16.53000742,7.760594277,45.91668727
7.760543042,45.91674139,178/42 W,,,,624977,85067,0.024977,-0.114933,2.793795495,16.5300269,7.760543042,45.91674139
7.76090364,45.91669538,024/54 W,,,,625005,85062,0.025005,-0.114938,2.79392531,16.53001034,7.76090364,45.91669538
7.814433843,45.87616715,076/51 N,,,7547,629180,80575,0.02918,-0.119425,2.813196183,16.51542017,7.814433843,45.87616715
7.814576072,45.88000767,,45-252,,7549,629189,81002,0.029189,-0.118998,2.813247386,16.51680276,7.814576072,45.88000767
7.813384631,45.88093817,062/85 S,,,,629096,81105,0.029096,-0.118895,2.812818467,16.51713774,7.813384631,45.88093817
7.813206223,45.88121762,044/47 NW,12-246,,7551,629082,81136,0.029082,-0.118864,2.81275424,16.51723834,7.813206223,45.88121762
7.811581442,45.88093517,049/90,,,,628956,81104,0.028956,-0.118896,2.812169319,16.51713666,7.811581442,45.88093517
7.956346509,45.8750273,066/45 SE,,45-141,,640200,80511,0.0402,-0.119489,2.864284743,16.51500983,7.956346509,45.8750273
7.957888821,45.87878026,060/34 SW,,,,640317,80929,0.040317,-0.119071,2.864839976,16.51636089,7.957888821,45.87878026
